condition,seed,method,scene,auc,cnr,n_target,n_bg,n_valid,file
100k_1mm,42,poca,u_void_soil,0.6081413890195903,0.3087874515285745,648,1653,2301,100k_1mm/seed_42/poca/u_void_soil.npz
100k_1mm,42,poca,u_void_concrete,0.6358146130391893,0.36806249490382476,648,1652,2300,100k_1mm/seed_42/poca/u_void_concrete.npz
100k_1mm,42,asr_q75,u_pb_soil,0.9996592428282285,5.526046677459018,648,1653,2301,100k_1mm/seed_42/asr_q75/u_pb_soil.npz
100k_1mm,42,asr_q75,u_pb_concrete,0.998657875046764,5.240142017826039,648,1650,2298,100k_1mm/seed_42/asr_q75/u_pb_concrete.npz
100k_1mm,42,asr_q75,u_explosive_soil,0.5013334531942946,-0.002807220389036843,648,1648,2296,100k_1mm/seed_42/asr_q75/u_explosive_soil.npz
100k_1mm,42,asr_q75,u_explosive_concrete,0.6304012345679012,0.3113187606429289,648,1648,2296,100k_1mm/seed_42/asr_q75/u_explosive_concrete.npz
100k_1mm,42,asr_q75,u_void_soil,0.8077844289002482,0.8019756625771812,648,1652,2300,100k_1mm/seed_42/asr_q75/u_void_soil.npz
100k_1mm,42,asr_q75,u_void_concrete,0.839179166010779,0.9216510197905504,648,1647,2295,100k_1mm/seed_42/asr_q75/u_void_concrete.npz
100k_1mm,42,mlsd_median,u_pb_soil,0.9972201658553365,5.372635397411823,648,1651,2299,100k_1mm/seed_42/mlsd_median/u_pb_soil.npz
100k_1mm,42,mlsd_median,u_pb_concrete,0.9943720977185544,4.653640248067049,648,1651,2299,100k_1mm/seed_42/mlsd_median/u_pb_concrete.npz
100k_1mm,42,mlsd_median,u_explosive_soil,0.6465787663294225,0.4141620343099605,648,1651,2299,100k_1mm/seed_42/mlsd_median/u_explosive_soil.npz
100k_1mm,42,mlsd_median,u_explosive_concrete,0.7410847148379957,0.6122613414129447,648,1651,2299,100k_1mm/seed_42/mlsd_median/u_explosive_concrete.npz
100k_1mm,42,mlsd_median,u_void_soil,0.8566356156398529,0.8351958502533712,648,1652,2300,100k_1mm/seed_42/mlsd_median/u_void_soil.npz
