condition,method,scene,n,auc_mean,auc_std,cnr_mean,cnr_std
150k_1mm,asr_q75,u_pb_soil,5,0.9999418391389574,3.0695884019096244e-05,6.125093073982389,0.1287602544046955
150k_1mm,asr_q75,u_void_concrete,5,0.889084448777022,0.00669654031485115,1.175118697863112,0.04376489155725111
150k_1mm,asr_q75,u_void_soil,5,0.8843146780550273,0.01723844859663255,1.2020125743093661,0.1048036861998422
150k_1mm,mlsd_median,u_explosive_concrete,5,0.7712480913991427,0.027965267288214996,0.6909898798905953,0.06915542962110298
150k_1mm,mlsd_median,u_explosive_soil,5,0.6889613055838895,0.011180014498302688,0.5009504102622471,0.01689500170081564
150k_1mm,mlsd_median,u_pb_concrete,5,0.9977308008357662,0.0005596640906921318,5.314781387679078,0.1252905355315026
150k_1mm,mlsd_median,u_pb_soil,5,0.9984541813944705,0.0002828016950643489,5.571215896119081,0.08231629656785365
150k_1mm,mlsd_median,u_void_concrete,5,0.904006753437959,0.009222833426742277,1.0210051353067702,0.060176590132173774
150k_1mm,mlsd_median,u_void_soil,5,0.8877762508295228,0.01310023148984448,0.9650213473835103,0.057276445145941934
150k_1mm,namt_3p,u_explosive_concrete,5,0.9457351710492903,0.015614955358527513,2.3566316412415302,0.36485963987835174
150k_1mm,namt_3p,u_explosive_soil,5,0.9133317712010408,0.01655450738390711,1.8889809132728677,0.2137599436479986
150k_1mm,namt_3p,u_pb_concrete,5,0.999992837389193,7.2552318334322004e-06,13.771652090985995,1.5311019558751657
150k_1mm,namt_3p,u_pb_soil,5,0.9999964124954529,3.5457466515757953e-06,12.752589187536978,0.4668370200829118
150k_1mm,namt_3p,u_void_concrete,5,0.9754893153485495,0.005757399033067164,3.2174455745388206,0.3133920332039814
150k_1mm,namt_3p,u_void_soil,5,0.9781374683073834,0.006925636698407763,2.9486961641014373,0.3020092509869286
150k_1mm,namt_4p,u_explosive_concrete,5,0.9524741715809523,0.009569341473024184,2.438917233026886,0.2890865004744031
150k_1mm,namt_4p,u_explosive_soil,5,0.9065975626678151,0.015781623779256796,1.8431511458199936,0.1801150639488682
150k_1mm,namt_4p,u_pb_concrete,5,0.9999949016388145,5.242957992450397e-06,14.49766254700017,1.471212017870784
